Date,Open,High,Low,Close,Volume,Adj Close
2015-02-23,975.00,975.00,917.40,928.10,13691600,928.10
2015-02-20,965.00,981.71,962.90,973.50,5540600,973.50
2015-02-19,966.50,968.49,956.60,966.80,4322600,966.80
2015-02-18,951.90,966.00,951.20,966.00,6073100,966.00
2015-02-17,945.00,954.40,940.00,946.10,5705500,946.10
2015-02-16,953.60,971.80,950.00,950.70,9922000,950.70
2015-02-13,929.00,960.90,917.00,956.40,10874500,956.40
2015-02-12,919.50,930.90,914.10,926.50,6958700,926.50
2015-02-11,917.00,926.10,911.80,918.50,4707300,918.50
2015-02-10,938.00,938.58,907.50,915.40,7227100,915.40
2015-02-09,921.10,941.50,915.60,939.40,9674600,939.40
2015-02-06,937.00,955.60,932.81,938.20,7402900,938.20
2015-02-05,911.70,938.40,904.00,935.50,6714900,935.50
2015-02-04,916.00,940.22,912.10,919.20,10083200,919.20
2015-02-03,882.70,915.90,876.90,915.00,13666100,915.00
2015-02-02,883.70,888.60,867.50,881.00,11094700,881.00
2015-01-30,890.00,902.00,884.90,887.70,8663700,887.70
2015-01-29,899.40,902.79,875.04,889.90,11241000,889.90
2015-01-28,944.90,950.00,899.26,905.00,15615600,905.00
2015-01-27,941.70,945.90,928.50,941.70,6951300,941.70
2015-01-26,945.40,954.60,929.30,946.30,7157200,946.30
2015-01-23,954.70,959.50,935.20,951.10,7412700,951.10
2015-01-22,933.20,971.40,928.68,952.80,12023300,952.80
2015-01-21,914.40,933.70,911.76,933.70,7874100,933.70
2015-01-20,913.90,931.80,910.90,914.50,7761300,914.50
2015-01-19,898.40,916.30,896.80,911.50,4948900,911.50
2015-01-16,891.80,901.80,888.71,900.60,5787700,900.60
2015-01-15,890.00,897.53,875.20,897.10,15079800,897.10
2015-01-14,916.80,920.00,870.00,886.10,20874500,886.10
2015-01-13,919.00,937.80,912.60,931.60,8621500,931.60
2015-01-12,946.50,948.90,918.00,921.20,12449300,921.20
2015-01-09,966.80,968.89,936.90,945.10,8521600,945.10
2015-01-08,979.20,995.00,961.55,970.70,10629000,970.70
2015-01-07,952.10,974.70,951.30,961.80,5358300,961.80
2015-01-06,954.60,958.00,946.20,947.10,8301300,947.10
2015-01-05,966.00,969.70,944.60,947.20,6823900,947.20
2015-01-02,967.80,970.76,954.10,962.20,3194500,962.20
2015-01-01,963.00,963.00,963.00,963.00,000,963.00
2014-12-31,964.90,970.10,959.30,963.00,885600,963.00
2014-12-30,961.80,968.90,956.40,959.00,2987200,959.00
2014-12-29,960.00,968.00,953.45,968.00,2888700,968.00
