Date,Open,High,Low,Close,Volume,Adj Close
2015-02-23,78.25,79.50,78.13,79.02,157129400,79.02
2015-02-20,77.18,78.37,77.05,77.98,163816000,77.98
2015-02-19,77.34,77.83,76.79,77.23,97685400,77.23
2015-02-18,77.35,77.89,76.85,77.29,115917200,77.29
2015-02-17,75.26,77.14,75.26,77.03,131302000,77.03
2015-02-16,75.26,78.85,75.22,75.73,68182900,75.73
2015-02-13,74.24,76.14,74.19,75.35,149400700,75.35
2015-02-12,74.39,75.50,74.17,74.43,171262800,74.43
2015-02-11,74.64,74.88,73.81,74.39,116919700,74.39
2015-02-10,74.77,75.50,74.57,75.01,97003400,75.01
2015-02-09,75.26,75.56,74.46,74.92,76965600,74.92
2015-02-06,75.29,76.03,75.19,75.81,97644800,75.81
2015-02-05,74.00,75.64,73.74,75.53,129225200,75.53
2015-02-04,75.02,75.42,74.01,74.55,108405500,74.55
2015-02-03,73.87,75.17,73.76,74.97,114107600,74.97
2015-02-02,73.72,74.48,72.92,73.67,137679300,73.67
2015-01-30,75.23,75.39,73.73,73.75,111287700,73.75
2015-01-29,74.32,74.96,73.84,74.86,99582300,74.86
2015-01-28,75.68,75.89,74.33,74.76,183992000,74.76
2015-01-27,76.16,76.24,74.92,75.13,111800400,75.13
2015-01-26,74.88,76.03,74.44,76.00,80665000,76.00
2015-01-23,75.72,76.30,75.12,75.53,135616800,75.53
2015-01-22,75.84,76.10,75.16,75.65,134647700,75.65
2015-01-21,75.56,75.87,74.67,75.59,144256000,75.59
2015-01-20,75.00,75.95,74.73,75.50,102776800,75.50
2015-01-19,73.25,74.90,72.93,74.65,76693800,74.65
2015-01-16,73.63,74.67,73.27,74.44,111260800,74.44
2015-01-15,73.08,74.18,71.93,74.18,122202300,74.18
2015-01-14,73.32,73.77,72.40,72.90,120471200,72.90
2015-01-13,73.14,74.29,73.02,74.01,91855700,74.01
2015-01-12,73.41,74.30,72.83,73.57,94250700,73.57
2015-01-09,73.84,74.05,73.06,73.74,98091400,73.74
2015-01-08,73.51,74.42,73.25,74.10,79367000,74.10
2015-01-07,73.32,73.94,72.87,73.01,108980400,73.01
2015-01-06,74.63,75.05,72.87,72.87,133810200,72.87
