Date,Open,High,Low,Close,Volume,Adj Close
2015-02-23,904.50,907.50,896.00,903.50,1107300,903.50
2015-02-20,904.50,917.00,891.50,897.00,1550300,897.00
2015-02-19,904.50,921.90,903.50,906.00,1090700,906.00
2015-02-18,900.00,914.00,900.00,906.50,1569500,906.50
2015-02-17,891.00,905.50,890.10,901.00,1498600,901.00
2015-02-16,894.00,901.50,893.50,899.50,935800,899.50
2015-02-13,900.00,901.50,893.60,899.00,1177900,899.00
2015-02-12,879.00,900.00,879.00,896.50,1217300,896.50
2015-02-11,875.00,887.50,875.00,882.00,678200,882.00
2015-02-10,865.00,881.00,864.50,880.00,798800,880.00
2015-02-09,863.00,867.00,856.00,865.00,1179000,865.00
2015-02-06,871.50,886.00,865.50,867.50,1403100,867.50
2015-02-05,879.50,888.00,872.50,877.00,1127700,877.00
2015-02-04,889.50,892.50,868.50,890.00,1433600,890.00
2015-02-03,871.00,897.50,868.50,895.00,1458900,895.00
2015-02-02,863.50,868.50,854.00,868.50,1168900,868.50
2015-01-30,871.50,874.00,856.00,858.00,1010100,858.00
2015-01-29,856.00,870.50,849.62,868.50,1145800,868.50
2015-01-28,862.50,864.50,852.50,859.00,787500,859.00
2015-01-27,863.50,867.50,852.00,858.00,1256200,858.00
2015-01-26,860.00,864.00,850.00,862.00,2374300,862.00
2015-01-23,848.50,863.50,845.50,861.50,1603700,861.50
2015-01-22,826.50,844.50,826.50,844.50,1829300,844.50
2015-01-21,817.00,827.00,809.62,827.00,1441800,827.00
2015-01-20,809.00,822.50,804.56,817.50,1276800,817.50
2015-01-19,787.50,803.50,787.50,803.00,933300,803.00
2015-01-16,794.50,799.50,780.00,789.50,1592300,789.50
2015-01-15,784.00,800.50,772.50,800.50,2011900,800.50
2015-01-14,794.50,798.50,776.50,780.50,1431400,780.50
2015-01-13,783.00,806.50,783.00,804.00,1109000,804.00
2015-01-12,784.50,793.00,777.50,788.00,1246000,788.00
2015-01-09,792.00,799.50,779.00,783.50,821700,783.50
2015-01-08,780.00,795.50,770.50,795.50,1210800,795.50
2015-01-07,769.50,779.14,764.00,767.50,1043900,767.50
2015-01-06,788.00,790.50,767.00,768.00,1423600,768.00
2015-01-05,804.00,819.50,785.50,788.00,1303200,788.00
2015-01-02,819.50,819.50,803.00,809.00,695600,809.00
2015-01-01,814.50,814.50,814.50,814.50,000,814.50
2014-12-31,808.00,815.19,800.50,814.50,274200,814.50
2014-12-30,809.00,817.00,803.50,807.50,469500,807.50
2014-12-29,806.50,818.50,801.91,815.00,455400,815.00
2014-12-26,810.50,810.50,810.50,810.50,000,810.50
2014-12-25,810.50,810.50,810.50,810.50,000,810.50
2014-12-24,806.50,817.00,804.07,810.50,93900,810.50
2014-12-23,812.00,817.50,810.00,815.00,697100,815.00
2014-12-22,802.50,813.00,800.50,809.50,614100,809.50
2014-12-19,806.00,812.50,785.50,800.50,1952000,800.50
2014-12-18,775.50,797.50,771.50,795.50,1265600,795.50
2014-12-17,763.00,777.30,753.50,771.50,1068300,771.50
2014-12-16,757.50,771.00,744.83,771.00,1845700,771.00
2014-12-15,770.00,781.00,757.00,757.00,1515500,757.00
2014-12-12,800.00,802.00,775.00,775.00,1249900,775.00
2014-12-11,816.00,816.00,800.00,805.50,1553800,805.50
2014-12-10,799.00,816.00,799.00,815.00,1210500,815.00
2014-12-09,819.00,820.50,798.50,798.50,1099300,798.50
2014-12-08,821.00,830.50,815.00,822.00,1686800,822.00
2014-12-05,797.00,825.00,796.50,821.50,1713300,821.50
2014-12-04,794.00,799.50,785.00,791.50,1353900,791.50
2014-12-03,779.00,796.50,776.00,789.00,1382300,789.00
2014-12-02,780.50,785.00,772.00,782.50,1325900,782.50
2014-12-01,792.00,796.50,769.00,778.50,1548200,778.50
2014-11-28,770.00,794.77,770.00,794.00,1588900,794.00
2014-11-27,773.50,773.50,765.50,770.00,1236600,770.00
2014-11-26,768.50,776.50,766.50,771.00,801100,771.00
2014-11-25,775.00,778.50,764.00,767.50,946900,767.50
2014-11-24,766.00,778.00,764.00,773.50,1180800,773.50
2014-11-21,764.00,771.50,763.00,766.00,1014500,766.00
2014-11-20,752.50,762.50,750.00,760.50,1136300,760.50
2014-11-19,757.00,759.50,752.00,755.00,1058500,755.00
2014-11-18,750.00,756.00,744.50,753.50,973900,753.50
2014-11-17,731.00,747.29,729.72,745.00,1075700,745.00
2014-11-14,739.00,744.50,733.00,737.00,1428900,737.00
2014-11-13,740.50,744.00,730.50,738.50,1238300,738.50
2014-11-12,744.00,745.00,735.00,736.00,1354800,736.00
2014-11-11,752.50,757.00,744.50,748.00,784400,748.00
2014-11-10,740.50,752.00,730.50,752.00,1173100,752.00
2014-11-07,749.00,753.50,736.00,736.50,1965700,736.50
2014-11-06,744.00,752.00,738.50,745.50,1532500,745.50
2014-11-05,743.50,755.06,743.00,749.00,1440700,749.00
2014-11-04,745.00,753.50,735.50,738.50,2061900,738.50
2014-11-03,746.00,753.00,736.50,744.50,2100200,744.50
2014-10-31,722.00,746.00,718.00,745.00,2553800,745.00
2014-10-30,705.00,716.25,701.50,712.50,2885200,712.50
2014-10-29,700.00,701.50,687.50,688.00,1830500,688.00
2014-10-28,679.00,697.00,679.00,695.00,1584400,695.00
2014-10-27,685.00,686.50,660.50,674.50,2263400,674.50
2014-10-24,681.50,687.50,675.00,680.00,1065800,680.00
2014-10-23,686.50,695.00,675.00,683.50,1952600,683.50
2014-10-22,680.00,691.50,677.00,690.50,2459500,690.50
2014-10-21,668.00,679.50,662.00,678.00,2843100,678.00
