Date,Open,High,Low,Close,Volume,Adj Close
2015-02-23,610.00,610.00,566.00,577.20,65270000,557.20
2015-02-20,603.60,606.69,599.80,605.20,24187100,584.23
2015-02-19,603.20,606.60,599.93,601.90,19017400,581.04
2015-02-18,606.70,608.70,603.40,605.50,22811400,584.52
2015-02-17,603.00,606.70,599.30,602.80,22143600,581.91
2015-02-16,596.20,605.10,596.20,601.10,11851000,580.27
2015-02-13,599.00,603.20,596.90,598.20,20748000,577.47
2015-02-12,597.60,601.20,595.60,596.40,23828500,575.73
2015-02-11,592.20,596.90,590.10,592.10,20095300,571.58
2015-02-10,608.50,608.50,596.40,597.80,33144000,577.09
2015-02-09,616.50,616.50,605.67,610.60,27386900,589.44
2015-02-06,613.10,625.40,611.19,620.80,18587500,599.29
2015-02-05,613.70,615.30,608.80,613.40,14310300,592.15
2015-02-04,617.00,620.50,611.70,615.60,19903000,594.27
2015-02-03,613.40,620.90,611.80,617.50,20982500,596.10
2015-02-02,612.50,621.37,604.40,612.40,23815200,591.18
2015-01-30,619.90,619.90,609.21,609.60,26651200,588.48
2015-01-29,614.00,619.30,597.10,618.10,20258900,596.68
2015-01-28,621.10,623.10,613.40,618.20,20810300,596.78
2015-01-27,624.90,625.97,613.00,618.00,66313600,596.59
2015-01-26,622.40,628.70,621.30,627.10,15445900,605.37
2015-01-23,628.00,630.00,622.10,624.80,24472200,603.15
2015-01-22,610.70,622.00,609.18,620.30,44136200,598.81
2015-01-21,599.20,605.70,595.77,605.60,25477700,584.62
2015-01-20,599.20,600.34,577.22,595.70,22954200,575.06
2015-01-19,594.60,599.34,593.00,596.30,12892300,575.64
2015-01-16,595.20,595.69,573.54,594.00,33785100,573.42
2015-01-15,595.50,597.10,579.05,596.90,39475800,576.22
2015-01-14,602.10,603.70,586.80,590.10,37012000,569.65
2015-01-13,604.70,608.13,602.30,604.20,17723200,583.26
2015-01-12,604.90,607.40,597.56,602.70,15509300,581.82
2015-01-09,606.50,607.00,598.00,602.00,28839400,581.14
